"","ICD.9.CM.CODE","CCS.CATEGORY","CCS.CATEGORY.DESCRIPTION","ICD.9.CM.CODE.DESCRIPTION","ICD9.CODE.FRMT"
"55","0391 ","5  ","Inject spine     ","""ANESTH INJECT-SPIN CANAL""","03.91"
"56","0392 ","5  ","Inject spine     ","""SPINAL CANAL INJECT NEC""","03.92"
"57","0393 ","5  ","Inject spine     ","""INSERT SPINAL STIMULATOR""","03.93"
"58","0394 ","5  ","Inject spine     ","""REMOVE SPINAL STIMULATOR""","03.94"
"59","0443 ","6  ","Decomp nerve     ","""CARPAL TUNNEL RELEASE""","04.43"
"60","0444 ","6  ","Decomp nerve     ","""TARSAL TUNNEL RELEASE""","04.44"
"61","0449 ","6  ","Decomp nerve     ","""PER NERVE ADHESIOLYS NEC""","04.49"
"62","0111 ","7  ","Ot Dx nerv       ","""CLOS CEREB MENINGES BX""","01.11"
"63","0112 ","7  ","Ot Dx nerv       ","""OPEN CEREB MENINGES BX""","01.12"
"64","0113 ","7  ","Ot Dx nerv       ","""CLOSED BRAIN BIOPSY""","01.13"
"65","0114 ","7  ","Ot Dx nerv       ","""OPEN BRAIN BIOPSY""","01.14"
"66","0115 ","7  ","Ot Dx nerv       ","""SKULL BIOPSY""","01.15"
"67","0118 ","7  ","Ot Dx nerv       ","""OTHER BRAIN DX PROCEDURE""","01.18"
"68","0119 ","7  ","Ot Dx nerv       ","""OTHER SKULL DX PROCEDURE""","01.19"
"69","0332 ","7  ","Ot Dx nerv       ","""SPINAL CORD/MENINGES BX""","03.32"
"70","0339 ","7  ","Ot Dx nerv       ","""OTHER SPINAL DX PROC""","03.39"
"71","0411 ","7  ","Ot Dx nerv       ","""CLOS PERIPH NERVE BIOPSY""","04.11"
"72","0412 ","7  ","Ot Dx nerv       ","""OPEN PERIPH NERVE BIOPSY""","04.12"
"73","0419 ","7  ","Ot Dx nerv       ","""PERIPH NERVE DX PROC NEC""","04.19"
"74","0511 ","7  ","Ot Dx nerv       ","""SYMPATHETIC NERVE BIOPSY""","05.11"
"75","0519 ","7  ","Ot Dx nerv       ","""SYMPATH NRV DX PROC NEC""","05.19"
"76","0102 ","8  ","Ot nOR nerv      ","""VENTRICL SHUNT TUBE PUNC""","01.02"
"77","0241 ","8  ","Ot nOR nerv      ","""IRRIGATE VENTRICLE SHUNT""","02.41"
"78","0295 ","8  ","Ot nOR nerv      ","""REMOVE SKULL TONGS""","02.95"
"79","0321 ","8  ","Ot nOR nerv      ","""PERCUTANEOUS CHORDOTOMY""","03.21"
"80","0395 ","8  ","Ot nOR nerv      ","""SPINAL PATCH""","03.95"
"81","0396 ","8  ","Ot nOR nerv      ","""PERCUTAN FACET DENERVAT""","03.96"
"82","0480 ","8  ","Ot nOR nerv      ","""PERIPH NERVE INJECT NOS""","04.80"
"83","0481 ","8  ","Ot nOR nerv      ","""ANESTH INJEC PERIPH NERV""","04.81"
"84","0489 ","8  ","Ot nOR nerv      ","""PERIPH NERVE INJECT NEC""","04.89"
"85","0531 ","8  ","Ot nOR nerv      ","""ANESTH INJECT SYMP NERVE""","05.31"
"86","0532 ","8  ","Ot nOR nerv      ","""NEUROLYT INJEC-SYMP NRV""","05.32"
"87","0539 ","8  ","Ot nOR nerv      ","""SYMPATH NERVE INJECT NEC""","05.39"
"88","0120 ","9  ","Ot OR nerv       ","""Imp/repl brain pulse gen (Begin 2010)""","01.20"
"89","0129 ","9  ","Ot OR nerv       ","""Rem brain pulse generatr (Begin 2010)""","01.29"
"90","016  ","9  ","Ot OR nerv       ","""EXCISE SKULL LESION""","01.6"
"91","0201 ","9  ","Ot OR nerv       ","""LINEAR CRANIECTOMY""","02.01"
"92","0202 ","9  ","Ot OR nerv       ","""ELEVATE SKULL FX FRAGMNT""","02.02"
"93","0203 ","9  ","Ot OR nerv       ","""SKULL FLAP FORMATION""","02.03"
"94","0204 ","9  ","Ot OR nerv       ","""BONE GRAFT TO SKULL""","02.04"
"95","0205 ","9  ","Ot OR nerv       ","""SKULL PLATE INSERTION""","02.05"
"96","0206 ","9  ","Ot OR nerv       ","""CRANIAL OSTEOPLASTY NEC""","02.06"
"97","0207 ","9  ","Ot OR nerv       ","""SKULL PLATE REMOVAL""","02.07"
"98","0211 ","9  ","Ot OR nerv       ","""SIMPLE SUTURE OF DURA""","02.11"
"99","0212 ","9  ","Ot OR nerv       ","""BRAIN MENINGE REPAIR NEC""","02.12"
"100","0213 ","9  ","Ot OR nerv       ","""MENINGE VESSEL LIGATION""","02.13"
"101","0214 ","9  ","Ot OR nerv       ","""CHOROID PLEXECTOMY""","02.14"
"102","022  ","9  ","Ot OR nerv       ","""VENTRICULOSTOMY (end 2011)""","02.2"
"103","0221 ","9  ","Ot OR nerv       ","""Insert/replace EVD (Begin 2011)""","02.21"
"104","0222 ","9  ","Ot OR nerv       ","""Intrcran vent shunt/anas (Begin 2011)""","02.22"
"105","0291 ","9  ","Ot OR nerv       ","""LYSIS CORTICAL ADHESION""","02.91"
"106","0292 ","9  ","Ot OR nerv       ","""BRAIN REPAIR""","02.92"
"107","0293 ","9  ","Ot OR nerv       ","""IMPLANT BRAIN STIMULATOR""","02.93"
"108","0294 ","9  ","Ot OR nerv       ","""INSERT/REPLAC SKULL TONG""","02.94"
"109","0296 ","9  ","Ot OR nerv       ","""INSERT SPHENOIDAL ELECTD (Begin 1992)""","02.96"
"110","0299 ","9  ","Ot OR nerv       ","""SKULL & BRAIN OP NEC""","02.99"
"111","0301 ","9  ","Ot OR nerv       ","""REMOVAL FB SPINAL CANAL""","03.01"
"112","031  ","9  ","Ot OR nerv       ","""INTRASPIN NERVE ROOT DIV""","03.1"
"113","0329 ","9  ","Ot OR nerv       ","""OTHER CHORDOTOMY""","03.29"
"114","034  ","9  ","Ot OR nerv       ","""EXCIS SPINAL CORD LESION""","03.4"
"115","0351 ","9  ","Ot OR nerv       ","""SPINE MENINGOCELE REPAIR""","03.51"
"116","0352 ","9  ","Ot OR nerv       ","""MYELOMENINGOCEL REPAIR""","03.52"
"117","0353 ","9  ","Ot OR nerv       ","""VERTEBRAL FX REPAIR""","03.53"
"118","0359 ","9  ","Ot OR nerv       ","""SPINAL STRUCT REPAIR NEC""","03.59"
"119","036  ","9  ","Ot OR nerv       ","""SPINAL CORD ADHESIOLYSIS""","03.6"
"120","0371 ","9  ","Ot OR nerv       ","""SUBARACH-PERITON SHUNT""","03.71"
"121","0372 ","9  ","Ot OR nerv       ","""SUBARACH-URETERAL SHUNT""","03.72"
"122","0379 ","9  ","Ot OR nerv       ","""OTH SPINAL THECAL SHUNT""","03.79"
"123","0397 ","9  ","Ot OR nerv       ","""REVISE SPINE THECA SHUNT""","03.97"
"124","0398 ","9  ","Ot OR nerv       ","""REMOVE SPINE THECA SHUNT""","03.98"
"125","0399 ","9  ","Ot OR nerv       ","""SPINE CANAL STRUC OP NEC""","03.99"
"126","0401 ","9  ","Ot OR nerv       ","""ACOUSTIC NEUROTOMY""","04.01"
"127","0402 ","9  ","Ot OR nerv       ","""TRIGEMINAL NERV DIVISION""","04.02"
"128","0403 ","9  ","Ot OR nerv       ","""PERIPH NERVE DIV NEC""","04.03"
"129","0404 ","9  ","Ot OR nerv       ","""PERIPH NERVE INCIS NEC""","04.04"
"130","0405 ","9  ","Ot OR nerv       ","""GASSERIAN GANGLIONECTOMY""","04.05"
"131","0406 ","9  ","Ot OR nerv       ","""PERIPH GANGLIONECT NEC""","04.06"
"132","0407 ","9  ","Ot OR nerv       ","""PERIPH NERV EXCISION NEC""","04.07"
"133","042  ","9  ","Ot OR nerv       ","""PERIPH NERVE DESTRUCTION""","04.2"
"134","043  ","9  ","Ot OR nerv       ","""PERIPHERAL NERVE SUTURE""","04.3"
"135","0441 ","9  ","Ot OR nerv       ","""DECOMPRESS TRIGEM ROOT""","04.41"
"136","0442 ","9  ","Ot OR nerv       ","""CRAN NERV ROOT DECOM NEC""","04.42"
"137","045  ","9  ","Ot OR nerv       ","""PERIPHERAL NERVE GRAFT""","04.5"
"138","046  ","9  ","Ot OR nerv       ","""PERIPH NERVE TRANSPOSIT""","04.6"
"139","0471 ","9  ","Ot OR nerv       ","""HYPOGLOSS-FACIAL ANASTOM""","04.71"
"140","0472 ","9  ","Ot OR nerv       ","""ACCESSORY-FACIAL ANASTOM""","04.72"
"141","0473 ","9  ","Ot OR nerv       ","""ACCESS-HYPOGLOSS ANASTOM""","04.73"
"142","0474 ","9  ","Ot OR nerv       ","""PERIPH NERV ANASTOM NEC""","04.74"
"143","0475 ","9  ","Ot OR nerv       ","""POSTOP REVIS PER NERV OP""","04.75"
"144","0476 ","9  ","Ot OR nerv       ","""LATE REPAIR PER NERV INJ""","04.76"
"145","0479 ","9  ","Ot OR nerv       ","""OTHER NEUROPLASTY""","04.79"
"146","0491 ","9  ","Ot OR nerv       ","""NEURECTASIS""","04.91"
"147","0492 ","9  ","Ot OR nerv       ","""IMPLANT PERIPH STIMULAT""","04.92"
"148","0493 ","9  ","Ot OR nerv       ","""REMOVE PERIPH STIMULATOR""","04.93"
"149","0499 ","9  ","Ot OR nerv       ","""PERIPHERAL NERVE OPS NEC""","04.99"
"150","050  ","9  ","Ot OR nerv       ","""SYMPATH NERVE DIVISION""","05.0"
"151","0521 ","9  ","Ot OR nerv       ","""SPHENOPALATIN GANGLIONEC""","05.21"
"152","0522 ","9  ","Ot OR nerv       ","""CERVICAL SYMPATHECTOMY""","05.22"
"153","0523 ","9  ","Ot OR nerv       ","""LUMBAR SYMPATHECTOMY""","05.23"
"154","0524 ","9  ","Ot OR nerv       ","""PRESACRAL SYMPATHECTOMY""","05.24"
"155","0525 ","9  ","Ot OR nerv       ","""PERIART SYMPATHECT (Begin 1995)""","05.25"
"156","0529 ","9  ","Ot OR nerv       ","""OTHER SYMPATHECTOMY""","05.29"
"157","0581 ","9  ","Ot OR nerv       ","""SYMPATHETIC NERVE REPAIR""","05.81"
"158","0589 ","9  ","Ot OR nerv       ","""SYMPATHETIC NERVE OP NEC""","05.89"
"159","059  ","9  ","Ot OR nerv       ","""OTHER NERVOUS SYSTEM OPS""","05.9"
"160","1761 ","9  ","Ot OR nerv       ","""LITT lesn brain""","17.61"
"161","8053 ","9  ","Ot OR nerv       ","""REP ANULUS FIBROSUS-GRFT (Begin 2008)""","80.53"
"162","8054 ","9  ","Ot OR nerv       ","""REP ANULS FIBROS NEC/NOS (Begin 2008)""","80.54"
"163","8458 ","9  ","Ot OR nervy      ","""IMP INTRSPINE DECOMP DEV (Begin 2005) (End 2007)""","84.58"
"164","8694 ","9  ","Ot OR nerv       ","""INS/REPL SINGLE PUL GEN (Begin 2004)""","86.94"
"165","8695 ","9  ","Ot OR nerv       ","""INS/REPL DUAL PULSE GEN (Begin 2004)""","86.95"
"166","8696 ","9  ","Ot OR nerv       ","""INSERT/REPL OTH NEUROST (Begin 2004)""","86.96"
"167","8697 ","9  ","Ot OR nerv       ","""INS/REP 1 PUL GEN (Begin 2005)""","86.97"
"168","8698 ","9  ","Ot OR nerv       ","""INS/REP 2 PUL GEN (Begin 2005)""","86.98"
"169","062  ","10 ","Thyroidect       ","""UNILAT THYROID LOBECTOMY""","06.2"
"170","0631 ","10 ","Thyroidect       ","""EXCISION THYROID LESION""","06.31"
"171","0639 ","10 ","Thyroidect       ","""PART THYROIDECTOMY NEC""","06.39"
"172","064  ","10 ","Thyroidect       ","""COMPLETE THYROIDECTOMY""","06.4"
"173","0650 ","10 ","Thyroidect       ","""SUBSTERN THYROIDECT NOS""","06.50"
"174","0651 ","10 ","Thyroidect       ","""PART SUBSTERN THYROIDECT""","06.51"
"175","0652 ","10 ","Thyroidect       ","""TOT SUBSTERN THYROIDECT""","06.52"
"176","066  ","10 ","Thyroidect       ","""LINGUAL THYROID EXCISION""","06.6"
"177","0611 ","11 ","Dx endocr        ","""CLOSED THYROID GLAND BX""","06.11"
"178","0612 ","11 ","Dx endocr        ","""OPEN THYROID GLAND BX""","06.12"
"179","0613 ","11 ","Dx endocr        ","""PARATHYROID BIOPSY""","06.13"
"180","0619 ","11 ","Dx endocr        ","""THYR/PARATHY DX PROC NEC""","06.19"
"181","0700 ","11 ","Dx endocr        ","""ADRENAL EXPLORATION NOS""","07.00"
"182","0701 ","11 ","Dx endocr        ","""UNILAT ADRENAL EXPLORAT""","07.01"
"183","0702 ","11 ","Dx endocr        ","""BILAT ADRENAL EXPLORAT""","07.02"
"184","0711 ","11 ","Dx endocr        ","""CLOSED ADRENAL GLAND BX""","07.11"
"185","0712 ","11 ","Dx endocr        ","""OPEN ADRENAL GLAND BX""","07.12"
"186","0713 ","11 ","Dx endocr        ","""TRANSFRONT PITUITARY BX""","07.13"
"187","0714 ","11 ","Dx endocr        ","""TRANSPHEN PITUITARY BX""","07.14"
"188","0715 ","11 ","Dx endocr        ","""PITUITARY BIOPSY NOS""","07.15"
"189","0716 ","11 ","Dx endocr        ","""THYMUS BIOPSY""","07.16"
"190","0717 ","11 ","Dx endocr        ","""PINEAL BIOPSY""","07.17"
"191","0719 ","11 ","Dx endocr        ","""ENDOCRINE DX PROC NEC""","07.19"
"192","0751 ","11 ","Dx endocr        ","""PINEAL FIELD EXPLORATION""","07.51"
"193","0771 ","11 ","Dx endocr        ","""PITUITARY FOSSA EXPLORAT""","07.71"
"194","0791 ","11 ","Dx endocr        ","""THYMUS FIELD EXPLORATION""","07.91"
"195","0601 ","12 ","Ot Rx endoc      ","""THYROID FIELD ASPIRATION""","06.01"
"196","0602 ","12 ","Ot Rx endoc      ","""REOPEN THYROID FIELD WND""","06.02"
"197","0609 ","12 ","Ot Rx endoc      ","""INCIS THYROID FIELD NEC""","06.09"
"198","067  ","12 ","Ot Rx endoc      ","""THYROGLOSS DUCT EXCISION""","06.7"
"199","0681 ","12 ","Ot Rx endoc      ","""TOTAL PARATHYROIDECTOMY""","06.81"
"200","0689 ","12 ","Ot Rx endoc      ","""OTHER PARATHYROIDECTOMY""","06.89"
"201","0691 ","12 ","Ot Rx endoc      ","""THYROID ISTHMUS DIVISION""","06.91"
"202","0692 ","12 ","Ot Rx endoc      ","""THYROID VESSEL LIGATION""","06.92"
"203","0693 ","12 ","Ot Rx endoc      ","""THYROID SUTURE""","06.93"
"204","0694 ","12 ","Ot Rx endoc      ","""THYROID REIMPLANTATION""","06.94"
"205","0695 ","12 ","Ot Rx endoc      ","""PARATHYROID REIMPLANT""","06.95"
"206","0698 ","12 ","Ot Rx endoc      ","""OTHER THYROID OPERATIONS""","06.98"
"207","0699 ","12 ","Ot Rx endoc      ","""OTHER PARATHYROID OPS""","06.99"
"208","0721 ","12 ","Ot Rx endoc      ","""ADRENAL LESION EXCISION""","07.21"
"209","0722 ","12 ","Ot Rx endoc      ","""UNILATERAL ADRENALECTOMY""","07.22"
"210","0729 ","12 ","Ot Rx endoc      ","""PART ADRENALECTOMY NEC""","07.29"
"211","073  ","12 ","Ot Rx endoc      ","""BILATERAL ADRENALECTOMY""","07.3"
"212","0741 ","12 ","Ot Rx endoc      ","""ADRENAL INCISION""","07.41"
"213","0742 ","12 ","Ot Rx endoc      ","""ADRENAL NERVE DIVISION""","07.42"
"214","0743 ","12 ","Ot Rx endoc      ","""ADRENAL VESSEL LIGATION""","07.43"
"215","0744 ","12 ","Ot Rx endoc      ","""ADRENAL REPAIR""","07.44"
"216","0745 ","12 ","Ot Rx endoc      ","""ADRENAL REIMPLANTATION""","07.45"
"217","0749 ","12 ","Ot Rx endoc      ","""ADRENAL OPERATION NEC""","07.49"
"218","0752 ","12 ","Ot Rx endoc      ","""PINEAL GLAND INCISION""","07.52"
"219","0753 ","12 ","Ot Rx endoc      ","""PARTIAL PINEALECTOMY""","07.53"
"220","0754 ","12 ","Ot Rx endoc      ","""TOTAL PINEALECTOMY""","07.54"
"221","0759 ","12 ","Ot Rx endoc      ","""PINEAL OPERATION NEC""","07.59"
"222","0761 ","12 ","Ot Rx endoc      ","""EXC PITUIT LES-TRANSFRON""","07.61"
"223","0762 ","12 ","Ot Rx endoc      ","""EXC PITUIT LES-TRANSPHEN""","07.62"
"224","0763 ","12 ","Ot Rx endoc      ","""PART EXCIS PITUITARY NOS""","07.63"
"225","0764 ","12 ","Ot Rx endoc      ","""TOT EXC PITUIT-TRANSFRON""","07.64"
"226","0765 ","12 ","Ot Rx endoc      ","""TOT EXC PITUIT-TRANSPHEN""","07.65"
"227","0768 ","12 ","Ot Rx endoc      ","""TOTAL EXC PITUITARY NEC""","07.68"
"228","0769 ","12 ","Ot Rx endoc      ","""TOTAL EXC PITUITARY NOS""","07.69"
"229","0772 ","12 ","Ot Rx endoc      ","""PITUITARY GLAND INCISION""","07.72"
"230","0779 ","12 ","Ot Rx endoc      ","""PITUITARY OPERATION NEC""","07.79"
"231","0780 ","12 ","Ot Rx endoc      ","""THYMECTOMY NOS""","07.80"
"232","0781 ","12 ","Ot Rx endoc      ","""PART EXCISION OF THYMUS""","07.81"
"233","0782 ","12 ","Ot Rx endoc      ","""TOTAL EXCISION OF THYMUS""","07.82"
"234","0783 ","12 ","Ot Rx endoc      ","""THORAC PART EXISN THYMUS (Begin 2007)""","07.83"
"235","0784 ","12 ","Ot Rx endoc      ","""THORAC TOTAL EXC THYMUS (Begin 2007)""","07.84"
"236","0792 ","12 ","Ot Rx endoc      ","""INCISION OF THYMUS""","07.92"
"237","0793 ","12 ","Ot Rx endoc      ","""REPAIR OF THYMUS""","07.93"
"238","0794 ","12 ","Ot Rx endoc      ","""THYMUS TRANSPLANTATION""","07.94"
"239","0795 ","12 ","Ot Rx endoc      ","""THORAC INCISION THYMUS (Begin 2007)""","07.95"
"240","0798 ","12 ","Ot Rx endoc      ","""OTH THORAC OP THYMUS NOS (Begin 2007)""","07.98"
"241","0799 ","12 ","Ot Rx endoc      ","""THYMUS OPERATION NEC""","07.99"
"242","1160 ","13 ","Corneal tran     ","""CORNEAL TRANSPLANT NOS""","11.60"
"243","1161 ","13 ","Corneal tran     ","""LAM KERATPLAST W AUTGRFT""","11.61"
"244","1162 ","13 ","Corneal tran     ","""LAMELLAR KERATOPLAST NEC""","11.62"
"245","1163 ","13 ","Corneal tran     ","""PERF KERATOPL W AUTOGRFT""","11.63"
"246","1164 ","13 ","Corneal tran     ","""PERFORAT KERATOPLAST NEC""","11.64"
"247","1169 ","13 ","Corneal tran     ","""CORNEAL TRANSPLANT NEC""","11.69"
"248","1251 ","14 ","Glaucoma prs     ","""GONIOPUNCTURE""","12.51"
"249","1252 ","14 ","Glaucoma prs     ","""GONIOTOMY""","12.52"
"250","1253 ","14 ","Glaucoma prs     ","""GONIOTOMY W GONIOPUNCTUR""","12.53"
"251","1254 ","14 ","Glaucoma prs     ","""TRABECULOTOMY AB EXTERNO""","12.54"
"252","1255 ","14 ","Glaucoma prs     ","""CYCLODIALYSIS""","12.55"
"253","1259 ","14 ","Glaucoma prs     ","""FACILIT INTRAOC CIRC NEC""","12.59"
"254","1261 ","14 ","Glaucoma prs     ","""TREPHIN SCLERA W IRIDECT""","12.61"
"255","1262 ","14 ","Glaucoma prs     ","""THERMCAUT SCLER W IRIDEC""","12.62"
"256","1263 ","14 ","Glaucoma prs     ","""IRIDENCLEISIS/IRIDOTASIS""","12.63"
"257","1264 ","14 ","Glaucoma prs     ","""TRABECULECTOM AB EXTERNO""","12.64"
"258","1265 ","14 ","Glaucoma prs     ","""SCLER FISTULIZ W IRIDECT""","12.65"
"259","1266 ","14 ","Glaucoma prs     ","""POSTOP REVIS SCL FISTUL""","12.66"
"260","1267 ","14 ","Glaucoma prs     ","""Insert aqueous drain dev (Begin 2011)""","12.67"
"261","1269 ","14 ","Glaucoma prs     ","""SCLER FISTULIZING OP NEC""","12.69"
"262","1271 ","14 ","Glaucoma prs     ","""CYCLODIATHERMY""","12.71"
"263","1272 ","14 ","Glaucoma prs     ","""CYCLOCRYOTHERAPY""","12.72"
"264","1273 ","14 ","Glaucoma prs     ","""CYCLOPHOTOCOAGULATION""","12.73"
"265","1274 ","14 ","Glaucoma prs     ","""CIL BODY DIMINUTION NOS""","12.74"
"266","1279 ","14 ","Glaucoma prs     ","""GLAUCOMA PROCEDURE NEC""","12.79"
"267","1311 ","15 ","Cataract prs     ","""TEMP-INF INTRCAP LENS EX""","13.11"
"268","1319 ","15 ","Cataract prs     ","""INTRACAPSUL LENS EXT NEC""","13.19"
"269","132  ","15 ","Cataract prs     ","""LINEAR EXTRACAP LENS EXT""","13.2"
"270","133  ","15 ","Cataract prs     ","""SIMPL ASPIR LENS EXTRACT""","13.3"
"271","1341 ","15 ","Cataract prs     ","""CATARAC PHACOEMULS/ASPIR""","13.41"
"272","1342 ","15 ","Cataract prs     ","""POST CATARAC FRAG/ASPIR""","13.42"
"273","1343 ","15 ","Cataract prs     ","""CATARACT FRAG/ASPIR NEC""","13.43"
"274","1351 ","15 ","Cataract prs     ","""TEMP-INF XTRACAP LENS EX""","13.51"
"275","1359 ","15 ","Cataract prs     ","""EXTRACAP LENS EXTRAC NEC""","13.59"
"276","1361 ","15 ","Cataract prs     ","""DISC PRIME MEM CATARACT (Begin 1980 End 1991)""","13.61"
"277","1362 ","15 ","Cataract prs     ","""EXC PRIME MEM CATARACT (Begin 1980 End 1991)""","13.62"
"278","1363 ","15 ","Cataract prs     ","""MECH FRAG MEM CATARACT (Begin 1980 End 1991)""","13.63"
"279","1364 ","15 ","Cataract prs     ","""AFTER-CATAR DISCISSION""","13.64"
"280","1365 ","15 ","Cataract prs     ","""AFTER-CATARACT EXCISION""","13.65"
"281","1366 ","15 ","Cataract prs     ","""AFTER CATAR FRAGMNTATION""","13.66"
"282","1369 ","15 ","Cataract prs     ","""CATARACT EXTRACTION NEC""","13.69"
"283","1370 ","15 ","Cataract prs     ","""INSERT PSEUDOPHAKOS NOS""","13.70"
"284","1371 ","15 ","Cataract prs     ","""INSERT LENS AT CATAR EXT""","13.71"
"285","1372 ","15 ","Cataract prs     ","""SECONDARY INSERT LENS""","13.72"
"286","138  ","15 ","Cataract prs     ","""IMPLANTED LENS REMOVAL""","13.8"
"287","139  ","15 ","Cataract prs     ","""OTHER OPERATIONS ON LENS""","13.9"
"288","1390 ","15 ","Cataract prs     ","""OPERATION ON LENS NEC (Begin 2006)""","13.90"
"289","1391 ","15 ","Cataract prs     ","""IMPL INTRAOC TELESC PROS (Begin 2006)""","13.91"
