
"Drug Catalog","Generic Drug Name",
"alpha-glucosidase inhibitors","miglitol",
"alternative medicines","5-hydroxytryptophan",
"alternative medicines","aloe vera",
"alternative medicines","aloe vera topical",
"alternative medicines","alpha-lipoic acid",
"alternative medicines","arnica topical",
"alternative medicines","betaine",
"alternative medicines","bifidobacterium infantis",
"alternative medicines","bifidobacterium-lactobacillus",
"alternative medicines","bilberry/evening primrose/flax",
"alternative medicines","black cohosh",
"alternative medicines","brewer&apos;s yeast",
"alternative medicines","calcium/melatonin/pyridoxine",
"alternative medicines","capsicum",
"alternative medicines","choline",
"alternative medicines","chondroitin",
"alternative medicines","chondroitin-glucosamine",
"alternative medicines","chondroitin/glucosamine/methylsulfonylmethane",
"alternative medicines","cinnamon",
"alternative medicines","cranberry",
"alternative medicines","dehydroepiandrosterone",
"alternative medicines","echinacea",
"alternative medicines","evening primrose",
"alternative medicines","flax",
"alternative medicines","garlic",
"alternative medicines","ginger",
"alternative medicines","ginkgo",
"alternative medicines","glucosamine",
"alternative medicines","glutamic acid",
"alternative medicines","glutamine",
"alternative medicines","horse chestnut",
"alternative medicines","inositol",
"alternative medicines","lactobacillus acidophilus",
"alternative medicines","lactobacillus acidophilus and bulgaricus",
"alternative medicines","lactobacillus acidophilus/casei/rhamnosus",
"alternative medicines","lactobacillus acidophilus-lactobacillus casei",
"alternative medicines","lactobacillus casei-omega-3 fatty acids",
"alternative medicines","lactobacillus reuteri",
"alternative medicines","lactobacillus rhamnosus GG",
"alternative medicines","lecithin",
"alternative medicines","levOCARNitine",
"alternative medicines","lutein",
"alternative medicines","lysine",
"alternative medicines","melatonin",
"alternative medicines","methionine",
"alternative medicines","milk thistle",
"alternative medicines","omega-3 polyunsaturated fatty acids",
"alternative medicines","pitcher plant",
"alternative medicines","red yeast rice",
"alternative medicines","saccharomyces boulardii lyo",
"alternative medicines","s-adenosylmethionine",
"alternative medicines","saw palmetto",
"alternative medicines","St. John&apos;s wort",
"alternative medicines","threonine",
"alternative medicines","ubiquinone",
"alternative medicines","valerian",
"amebicides","chloroquine",
"amebicides","iodoquinol",
"amebicides","metroNIDAZOLE",
"amebicides","nitazoxanide",
"amebicides","paromomycin",
"amebicides","tinidazole",
"aminoglycosides","amikacin",
"aminoglycosides","gentamicin",
"aminoglycosides","kanamycin",
"aminoglycosides","neomycin",
"aminoglycosides","netilmicin",
"aminoglycosides","paromomycin",
"aminoglycosides","streptomycin",
"aminoglycosides","tobramycin",
"aminopenicillins","amoxicillin",
"aminopenicillins","ampicillin",
"aminopenicillins","ampicillin-probenecid",
"aminopenicillins","bacampicillin",
"aminosalicylates","aminosalicylic acid",
"AMPA receptor antagonists","perampanel",
"amylin analogs","pramlintide",
"analgesic combinations","acetaminophen/AlOH/aspirin/caffeine/MgOH",
"analgesic combinations","acetaminophen-aspirin",
"analgesic combinations","acetaminophen/aspirin/caffeine",
"analgesic combinations","acetaminophen/aspirin/caffeine/salicylamide",
"analgesic combinations","acetaminophen/aspirin/diphenhydrAMINE",
"analgesic combinations","acetaminophen-brompheniramine",
"analgesic combinations","acetaminophen-butalbital",
"analgesic combinations","acetaminophen/butalbital/caffeine",
"analgesic combinations","acetaminophen-caffeine",
"analgesic combinations","acetaminophen/caffeine/isometheptene mucate",
"analgesic combinations","acetaminophen/caffeine/magnesium salicylate",
"analgesic combinations","acetaminophen/caffeine/phenyltoloxamine",
"analgesic combinations","acetaminophen/caffeine/pyrilamine",
"analgesic combinations","acetaminophen-diphenhydrAMINE",
"analgesic combinations","acetaminophen-magnesium salicylate",
"analgesic combinations","acetaminophen/magnesium salicylate/pamabrom",
"analgesic combinations","acetaminophen-pamabrom",
"analgesic combinations","acetaminophen/pamabrom/pyrilamine",
"analgesic combinations","acetaminophen-phenyltoloxamine",
"analgesic combinations","acetaminophen/phenyltoloxamine/salicylamide",
"analgesic combinations","acetaminophen-salicylamide",
"analgesic combinations","APAP/Al hydroxide/ASA/caffeine/Mg hydroxide",
"analgesic combinations","APAP/ASA/caffeine",
"analgesic combinations","APAP/ASA/caffeine/salicylamide",
"analgesic combinations","APAP/caffeine/isometheptene mucate",
"analgesic combinations","APAP/caffeine/magnesium salicylate",
"analgesic combinations","APAP/caffeine/mg salicylate/phenyltoloxamine",
"analgesic combinations","APAP/caffeine/phenyltoloxamine/salicylamide",
"analgesic combinations","APAP/magnesium salicylate/pamabrom",
"analgesic combinations","APAP/pamabrom/pyridoxine",
"analgesic combinations","APAP/phenyltoloxamine/salicylamide",
"analgesic combinations","aspirin-butalbital",
"analgesic combinations","aspirin/butalbital/caffeine",
"analgesic combinations","aspirin-caffeine",
"analgesic combinations","aspirin/caffeine/salicylamide",
"analgesic combinations","aspirin-diphenhydrAMINE",
"analgesic combinations","aspirin-meprobamate",
"analgesic combinations","aspirin-phenyltoloxamine",
"analgesic combinations","caffeine-magnesium salicylate",
"analgesic combinations","diphenhydrAMINE-ibuprofen",
"analgesic combinations","diphenhydrAMINE-magnesium salicylate",
"analgesic combinations","diphenhydrAMINE-naproxen",
"analgesic combinations","magnesium salicylate-phenyltoloxamine",
"analgesics","acetaminophen",
"analgesics","acetaminophen/AlOH/aspirin/caffeine/MgOH",
"analgesics","acetaminophen-aspirin",
"analgesics","acetaminophen/aspirin/caffeine",
"analgesics","acetaminophen/aspirin/caffeine/salicylamide",
"analgesics","acetaminophen/aspirin/diphenhydrAMINE",
"analgesics","acetaminophen-brompheniramine",
"analgesics","acetaminophen-butalbital",
"analgesics","acetaminophen/butalbital/caffeine",
"analgesics","acetaminophen/butalbital/caffeine/codeine",
"analgesics","acetaminophen-caffeine",
"analgesics","acetaminophen/caffeine/dihydrocodeine",
"analgesics","acetaminophen/caffeine/isometheptene mucate",
"analgesics","acetaminophen/caffeine/magnesium salicylate",
"analgesics","acetaminophen/caffeine/phenyltoloxamine",
"analgesics","acetaminophen/caffeine/pyrilamine",
"analgesics","acetaminophen-codeine",
"analgesics","acetaminophen-diphenhydrAMINE",
"analgesics","acetaminophen-HYDROcodone",
"analgesics","acetaminophen-magnesium salicylate",
"analgesics","acetaminophen/magnesium salicylate/pamabrom",
"analgesics","acetaminophen-oxyCODONE",
"analgesics","acetaminophen-pamabrom",
"analgesics","acetaminophen/pamabrom/pyrilamine",
"analgesics","acetaminophen-pentazocine",
"analgesics","acetaminophen-phenyltoloxamine",
"analgesics","acetaminophen/phenyltoloxamine/salicylamide",
"analgesics","acetaminophen-propoxyphene",
"analgesics","acetaminophen-salicylamide",
"analgesics","acetaminophen-traMADol",
"analgesics","alfentanil",
"analgesics","Al hydroxide/ASA/Ca carbonate/Mg hydroxide",
"analgesics","almotriptan",
"analgesics","APAP/Al hydroxide/ASA/caffeine/Mg hydroxide",
"analgesics","APAP/ASA/caffeine",
"analgesics","APAP/ASA/caffeine/salicylamide",
"analgesics","APAP/butalbital/caffeine/codeine",
"analgesics","APAP/caffeine/isometheptene mucate",
"analgesics","APAP/caffeine/magnesium salicylate",
"analgesics","APAP/caffeine/mg salicylate/phenyltoloxamine",
"analgesics","APAP/caffeine/phenyltoloxamine/salicylamide",
"analgesics","APAP/dichloralphenazone/isometheptene",
"analgesics","APAP/magnesium salicylate/pamabrom",
"analgesics","APAP/pamabrom/pyridoxine",
"analgesics","APAP/phenyltoloxamine/salicylamide",
"analgesics","ASA/caffeine/propoxyphene",
"analgesics","aspirin",
"analgesics","aspirin-butalbital",
"analgesics","aspirin/butalbital/caffeine",
"analgesics","aspirin/butalbital/caffeine/codeine",
"analgesics","aspirin-caffeine",
"analgesics","aspirin/caffeine/dihydrocodeine",
"analgesics","aspirin/caffeine/salicylamide",
"analgesics","aspirin/citric acid/sodium bicarbonate",
"analgesics","aspirin-codeine",
"analgesics","aspirin-diphenhydrAMINE",
"analgesics","aspirin-HYDROcodone",
"analgesics","aspirin-meprobamate",
"analgesics","aspirin-oxyCODONE",
"analgesics","aspirin-pentazocine",
"analgesics","aspirin-phenyltoloxamine",
"analgesics","belladonna/caffeine/ergotamine/PENTobarbital",
"analgesics","belladonna-opium",
"analgesics","bromfenac",
"analgesics","bupivacaine-fentaNYL",
"analgesics","bupivacaine-HYDROmorphone",
"analgesics","buprenorphine",
"analgesics","buprenorphine-naloxone",
"analgesics","butorphanol",
"analgesics","caffeine-ergotamine",
"analgesics","caffeine-magnesium salicylate",
"analgesics","celecoxib",
"analgesics","choline salicylate",
"analgesics","choline salicylate-magnesium salicylate",
"analgesics","codeine",
"analgesics","dezocine",
"analgesics","diclofenac",
"analgesics","diclofenac-misoprostol",
"analgesics","diflunisal",
"analgesics","dihydroergotamine",
"analgesics","diphenhydrAMINE-ibuprofen",
"analgesics","diphenhydrAMINE-magnesium salicylate",
"analgesics","diphenhydrAMINE-naproxen",
"analgesics","droperidol-fentaNYL",
"analgesics","eletriptan",
"analgesics","ergotamine",
"analgesics","esomeprazole-naproxen",
"analgesics","etodolac",
"analgesics","famotidine-ibuprofen",
"analgesics","fenoprofen",
"analgesics","fentaNYL",
"analgesics","fentaNYL-ropivacaine",
"analgesics","flurbiprofen",
"analgesics","frovatriptan",
"analgesics","HYDROcodone",
"analgesics","HYDROcodone-ibuprofen",
"analgesics","HYDROmorphone",
"analgesics","HYDROmorphone-ropivacaine",
"analgesics","ibuprofen",
"analgesics","ibuprofen-oxyCODONE",
"analgesics","indomethacin",
"analgesics","ketoprofen",
"analgesics","ketorolac",
"analgesics","lansoprazole-naproxen",
"analgesics","levomethadyl acetate",
"analgesics","levorphanol",
"analgesics","magnesium salicylate",
"analgesics","magnesium salicylate-phenyltoloxamine",
"analgesics","meclofenamate",
"analgesics","mefenamic acid",
"analgesics","meloxicam",
"analgesics","meperidine",
"analgesics","meperidine-promethazine",
"analgesics","methadone",
"analgesics","methysergide maleate",
"analgesics","morphine",
"analgesics","morphine liposomal",
"analgesics","morphine-naltrexone",
"analgesics","nabumetone",
"analgesics","nalbuphine",
"analgesics","naloxone-pentazocine",
"analgesics","naproxen",
"analgesics","naproxen-SUMAtriptan",
"analgesics","naratriptan",
"analgesics","opium",
"analgesics","oxaprozin",
"analgesics","oxyCODONE",
"analgesics","oxymorphone",
"analgesics","pentazocine",
"analgesics","piroxicam",
"analgesics","propoxyphene",
"analgesics","remifentanil",
"analgesics","rizatriptan",
"analgesics","rofecoxib",
"analgesics","ropivacaine-SUFentanil",
"analgesics","salicylamide",
"analgesics","salsalate",
"analgesics","sodium salicylate",
"analgesics","sodium thiosalicylate",
"analgesics","SUFentanil",
"analgesics","sulindac",
"analgesics","SUMAtriptan",
"analgesics","tapentadol",
"analgesics","tolmetin",
"analgesics","traMADol",
"analgesics","valdecoxib",
"analgesics","ziconotide",
"analgesics","ZOLMitriptan",
"androgens and anabolic steroids","fluoxymesterone",
"androgens and anabolic steroids","methylTESTOSTERone",
"androgens and anabolic steroids","nandrolone",
"androgens and anabolic steroids","oxandrolone",
"androgens and anabolic steroids","oxymetholone",
"androgens and anabolic steroids","stanozolol",
"androgens and anabolic steroids","testosterone",
"angiotensin converting enzyme inhibitors","benazepril",
"angiotensin converting enzyme inhibitors","captopril",
"angiotensin converting enzyme inhibitors","enalapril",
"angiotensin converting enzyme inhibitors","fosinopril",
"angiotensin converting enzyme inhibitors","lisinopril",
"angiotensin converting enzyme inhibitors","moexipril",
"angiotensin converting enzyme inhibitors","perindopril",
"angiotensin converting enzyme inhibitors","quinapril",
"angiotensin converting enzyme inhibitors","ramipril",
"angiotensin converting enzyme inhibitors","trandolapril",
"angiotensin II inhibitors","azilsartan",
"angiotensin II inhibitors","candesartan",
"angiotensin II inhibitors","eprosartan",
"angiotensin II inhibitors","irbesartan",
"angiotensin II inhibitors","losartan",
"angiotensin II inhibitors","olmesartan",
"angiotensin II inhibitors","telmisartan",
"angiotensin II inhibitors","valsartan",
"angiotensin II inhibitors with calcium channel blockers","amLODIPine-olmesartan",
"angiotensin II inhibitors with calcium channel blockers","amLODIPine-telmisartan",
"angiotensin II inhibitors with calcium channel blockers","amLODIPine-valsartan",
"angiotensin II inhibitors with thiazides","azilsartan-chlorthalidone",
"angiotensin II inhibitors with thiazides","candesartan-hydrochlorothiazide",
"angiotensin II inhibitors with thiazides","eprosartan-hydrochlorothiazide",
"angiotensin II inhibitors with thiazides","hydrochlorothiazide-irbesartan",
"angiotensin II inhibitors with thiazides","hydrochlorothiazide-losartan",
"angiotensin II inhibitors with thiazides","hydrochlorothiazide-olmesartan",
"angiotensin II inhibitors with thiazides","hydrochlorothiazide-telmisartan",
"angiotensin II inhibitors with thiazides","hydrochlorothiazide-valsartan",
"angiotensin receptor blockers and neprilysin inhibitors","sacubitril-valsartan",
"anorectal preparations","balsam Peru/benzyl benzoate/bismuth/Zn oxide",
"anorectal preparations","diosmiplex/hydrocortisone/pramoxine topical",
"anorectal preparations","glycerin-witch hazel topical",
"anorectal preparations","hydrocortisone-pramoxine topical",
"anorectal preparations","phenylephrine-pramoxine topical",
"anorectal preparations","phenylephrine topical",
"anorectal preparations","pramoxine-zinc oxide topical",
"anorectal preparations","sinecatechins topical",
"anorectal preparations","starch topical",
"anorexiants","benzphetamine",
"anorexiants","buPROPion-naltrexone",
"anorexiants","dexfenfluramine",
"anorexiants","diethylpropion",
"anorexiants","fenfluramine",
"anorexiants","lorcaserin",
"anorexiants","mazindol",
"anorexiants","methamphetamine",
"anorexiants","phendimetrazine",
"anorexiants","phentermine",
"anorexiants","phentermine-topiramate",
"anorexiants","sibutramine",
"antacids","alginic acid/Al hydroxide/Mg carbonate",
"antacids","alginic acid/Al hydroxide/Mg trisilicate",
"antacids","Al hydroxide/Ca carbonate/Mg OH/simethicone",
"antacids","Al hydroxide/Mg hydroxide/simethicone",
"antacids","aluminum carbonate",
"antacids","aluminum hydroxide",
"antacids","aluminum hydroxide-magnesium carbonate",
"antacids","aluminum hydroxide-magnesium hydroxide",
"antacids","aluminum hydroxide-magnesium trisilicate",
"antacids","aluminum hydroxide-mineral oil",
"antacids","Ca carbonate/Mg hydroxide/simethicone",
"antacids","calcium carbonate",
"antacids","calcium carbonate-magnesium carbonate",
"antacids","calcium carbonate-magnesium hydroxide",
"antacids","calcium carbonate-simethicone",
"antacids","dihydroxyaluminum sodium carbonate",
"antacids","magaldrate",
"antacids","magaldrate-simethicone",
"antacids","magnesium hydroxide",
"antacids","potassium bicarbonate-sodium bicarbonate",
"antacids","sodium bicarbonate",
"anthelmintics","albendazole",
"anthelmintics","ivermectin",
"anthelmintics","mebendazole",
"anthelmintics","niclosamide",
"anthelmintics","oxamniquine",
"anthelmintics","piperazine",
"anthelmintics","praziquantel",
"anthelmintics","pyrantel",
"anthelmintics","thiabendazole",
"antiadrenergic agents, centrally acting","cloNIDine",
"antiadrenergic agents, centrally acting","guanabenz",
"antiadrenergic agents, centrally acting","guanFACINE",
"antiadrenergic agents, centrally acting","methyldopa",
"antiadrenergic agents (central) with thiazides","chlorothiazide-methyldopa",
"antiadrenergic agents (central) with thiazides","chlorthalidone-cloNIDine",
"antiadrenergic agents (central) with thiazides","hydrochlorothiazide-methyldopa",
"antiadrenergic agents, peripherally acting","alfuzosin",
"antiadrenergic agents, peripherally acting","deserpidine",
"antiadrenergic agents, peripherally acting","doxazosin",
"antiadrenergic agents, peripherally acting","dutasteride-tamsulosin",
"antiadrenergic agents, peripherally acting","guanadrel",
"antiadrenergic agents, peripherally acting","guanethidine",
"antiadrenergic agents, peripherally acting","mecamylamine",
"antiadrenergic agents, peripherally acting","prazosin",
"antiadrenergic agents, peripherally acting","rauwolfia serpentina",
"antiadrenergic agents, peripherally acting","reserpine",
"antiadrenergic agents, peripherally acting","silodosin",
"antiadrenergic agents, peripherally acting","tamsulosin",
"antiadrenergic agents, peripherally acting","terazosin",
"antiadrenergic agents (peripheral) with thiazides","bendroflumethiazide-rauwolfia serpentina",
"antiadrenergic agents (peripheral) with thiazides","chlorothiazide-reserpine",
"antiadrenergic agents (peripheral) with thiazides","chlorthalidone-reserpine",
"antiadrenergic agents (peripheral) with thiazides","deserpidine-hydrochlorothiazide",
"antiadrenergic agents (peripheral) with thiazides","deserpidine-methyclothiazide",
"antiadrenergic agents (peripheral) with thiazides","guanethidine-hydrochlorothiazide",
"antiadrenergic agents (peripheral) with thiazides","hydrochlorothiazide-reserpine",
"antiadrenergic agents (peripheral) with thiazides","hydroflumethiazide-reserpine",
"antiadrenergic agents (peripheral) with thiazides","methyclothiazide-reserpine",
"antiadrenergic agents (peripheral) with thiazides","polythiazide-prazosin",
"antiadrenergic agents (peripheral) with thiazides","polythiazide-reserpine",
"antiadrenergic agents (peripheral) with thiazides","reserpine-trichlormethiazide",
"antiandrogens","bicalutamide",
"antiandrogens","enzalutamide",
"antiandrogens","flutamide",
"antiandrogens","nilutamide",
"antianginal agents","amyl nitrite",
"antianginal agents","isosorbide dinitrate",
"antianginal agents","isosorbide mononitrate",
"antianginal agents","nitroglycerin",
"antianginal agents","ranolazine",
"anti-angiogenic ophthalmic agents","aflibercept ophthalmic",
"anti-angiogenic ophthalmic agents","pegaptanib ophthalmic",
"anti-angiogenic ophthalmic agents","ranibizumab ophthalmic",
"antiarrhythmic agents","acebutolol",
"antiarrhythmic agents","adenosine",
"antiarrhythmic agents","amiodarone",
"antiarrhythmic agents","bretylium",
"antiarrhythmic agents","digoxin",
"antiarrhythmic agents","diltiazem",
"antiarrhythmic agents","disopyramide",
"antiarrhythmic agents","dofetilide",
"antiarrhythmic agents","dronedarone",
"antiarrhythmic agents","esmolol",
"antiarrhythmic agents","flecainide",
"antiarrhythmic agents","ibutilide",
"antiarrhythmic agents","lidocaine",
"antiarrhythmic agents","mexiletine",
"antiarrhythmic agents","moricizine",
"antiarrhythmic agents","phenytoin",
"antiarrhythmic agents","procainamide",
"antiarrhythmic agents","propafenone",
"antiarrhythmic agents","propranolol",
"antiarrhythmic agents","quiNIDine",
"antiarrhythmic agents","sotalol",
"antiarrhythmic agents","tocainide",
"antiarrhythmic agents","verapamil",
"antiasthmatic combinations","aminophylline/amobarbital/ePHEDrine",
"antiasthmatic combinations","aminophylline/ePHEDrine/guaiFENesin/PB",
"antiasthmatic combinations","aminophylline/ePHEDrine/PB/K iodide",
"antiasthmatic combinations","aminophylline-guaiFENesin",
"antiasthmatic combinations","dyphylline/ePHEDrine/guaiFENesin/PB",
"antiasthmatic combinations","dyphylline-guaiFENesin",
"antiasthmatic combinations","ePHEDrine/guaiFENesin/theophylline",
"antiasthmatic combinations","ePHEDrine/hydrOXYzine/theophylline",
"antiasthmatic combinations","ePHEDrine/PB/K iodide/theophylline",
"antiasthmatic combinations","ePHEDrine/PHENobarbital/theophylline",
"antiasthmatic combinations","guaiFENesin-oxtriphylline",
"antiasthmatic combinations","guaiFENesin-theophylline",
"antiasthmatic combinations","potassium iodide-theophylline",
"anticholinergic antiemetics","benzocaine-trimethobenzamide",
"anticholinergic antiemetics","cyclizine",
"anticholinergic antiemetics","dimenhyDRINATE",
"anticholinergic antiemetics","diphenhydrAMINE",
"anticholinergic antiemetics","meclizine",
"anticholinergic antiemetics","scopolamine",
"anticholinergic antiemetics","trimethobenzamide",
"anticholinergic antiparkinson agents","benztropine",
"anticholinergic antiparkinson agents","biperiden",
"anticholinergic antiparkinson agents","diphenhydrAMINE",
"anticholinergic antiparkinson agents","procyclidine",
"anticholinergic antiparkinson agents","trihexyphenidyl",
"anticholinergic bronchodilators","aclidinium",
"anticholinergic bronchodilators","ipratropium",
"anticholinergic bronchodilators","tiotropium",
"anticholinergic bronchodilators","umeclidinium",
"anticholinergic chronotropic agents","atropine",
"anticholinergics/antispasmodics","atropine",
"anticholinergics/antispasmodics","atropine/hyoscyamine/PB/scopolamine",
"anticholinergics/antispasmodics","atropine-PHENobarbital",
"anticholinergics/antispasmodics","belladonna",
"anticholinergics/antispasmodics","belladonna-butabarbital",
"anticholinergics/antispasmodics","belladonna/ergotamine/PHENobarbital",
"anticholinergics/antispasmodics","chlordiazePOXIDE-clidinium",
"anticholinergics/antispasmodics","chlordiazePOXIDE-methscopolamine",
"anticholinergics/antispasmodics","clidinium",
"anticholinergics/antispasmodics","dicyclomine",
"anticholinergics/antispasmodics","glycopyrrolate",
"anticholinergics/antispasmodics","hyoscyamine",
"anticholinergics/antispasmodics","hyoscyamine-PHENobarbital",
"anticholinergics/antispasmodics","hyoscyamine-phenyltoloxamine",
"anticholinergics/antispasmodics","lactobacillus acidophilus-methscopolamine",
"anticholinergics/antispasmodics","mepenzolate",
"anticholinergics/antispasmodics","methscopolamine",
"anticholinergics/antispasmodics","propantheline",
"anticholinergics/antispasmodics","scopolamine",
"anticoagulant reversal agents","idarucizumab",
"anticoagulant reversal agents","phytonadione",
"anticoagulant reversal agents","protamine",
"anticoagulant reversal agents","prothrombin complex",
"anticoagulants","anisindione",
"anticoagulants","apixaban",
"anticoagulants","ardeparin",
"anticoagulants","argatroban",
"anticoagulants","bivalirudin",
"anticoagulants","dabigatran",
"anticoagulants","dalteparin",
"anticoagulants","danaparoid",
"anticoagulants","desirudin",
"anticoagulants","dicumarol",
"anticoagulants","edoxaban",
"anticoagulants","enoxaparin",
"anticoagulants","fondaparinux",
"anticoagulants","heparin",
"anticoagulants","heparin flush",
"anticoagulants","lepirudin",
"anticoagulants","rivaroxaban",
"anticoagulants","tinzaparin",
"anticoagulants","warfarin",
"anticonvulsants","acetaZOLAMIDE",
"anticonvulsants","carBAMazepine",
"anticonvulsants","clobazam",
"anticonvulsants","clonazePAM",
"anticonvulsants","diazepam",
"anticonvulsants","divalproex sodium",
"anticonvulsants","eslicarbazepine",
"anticonvulsants","ethosuximide",
"anticonvulsants","ethotoin",
"anticonvulsants","ezogabine",
"anticonvulsants","felbamate",
"anticonvulsants","fosphenytoin",
"anticonvulsants","gabapentin",
"anticonvulsants","lacosamide",
"anticonvulsants","lamoTRIgine",
"anticonvulsants","levETIRAcetam",
"anticonvulsants","LORazepam",
"anticonvulsants","magnesium sulfate",
"anticonvulsants","mephenytoin",
"anticonvulsants","mephobarbital",
"anticonvulsants","methsuximide",
"anticonvulsants","OXcarbazepine",
"anticonvulsants","paramethadione",
"anticonvulsants","perampanel",
"anticonvulsants","phenacemide",
"anticonvulsants","PHENobarbital",
"anticonvulsants","phensuximide",
"anticonvulsants","phenytoin",
"anticonvulsants","pregabalin",
"anticonvulsants","primidone",
"anticonvulsants","rufinamide",
"anticonvulsants","tiaGABine",
"anticonvulsants","topiramate",
"anticonvulsants","trimethadione",
"anticonvulsants","valproic acid",
"anticonvulsants","vigabatrin",
"anticonvulsants","zonisamide",
"anti-CTLA-4 monoclonal antibodies","ipilimumab",
"antidepressants","5-hydroxytryptophan",
"antidepressants","amitriptyline",
"antidepressants","amoxapine",
"antidepressants","buPROPion",
"antidepressants","citalopram",
"antidepressants","clomiPRAMINE",
"antidepressants","desipramine",
"antidepressants","desvenlafaxine",
"antidepressants","doxepin",
"antidepressants","DULoxetine",
"antidepressants","escitalopram",
"antidepressants","FLUoxetine",
"antidepressants","fluvoxaMINE",
"antidepressants","imipramine",
"antidepressants","isocarboxazid",
"antidepressants","levomilnacipran",
"antidepressants","maprotiline",
"antidepressants","milnacipran",
"antidepressants","mirtazapine",
"antidepressants","nefazodone",
"antidepressants","nortriptyline",
"antidepressants","PARoxetine",
"antidepressants","phenelzine",
"antidepressants","protriptyline",
"antidepressants","selegiline",
"antidepressants","sertraline",
"antidepressants","St. John&apos;s wort",
"antidepressants","tranylcypromine",
"antidepressants","traZODone",
"antidepressants","trimipramine",
"antidepressants","venlafaxine",
"antidepressants","vilazodone",
"antidepressants","vortioxetine",
"antidiabetic agents","acarbose",
"antidiabetic agents","acetoHEXAMIDE",
"antidiabetic agents","albiglutide",
"antidiabetic agents","alogliptin",
"antidiabetic agents","alogliptin-metFORMIN",
"antidiabetic agents","alogliptin-pioglitazone",
"antidiabetic agents","canagliflozin",
